Rank,Company Name,Revenue,Profit,Assets,Market Value
326,Royal Ahold Delhaize N.V.,$96.2 B,$2 B,$55.2 B,$29.8 B
327,Lennar,$35.1 B,$4 B,$39 B,$46.1 B
328,Stryker,$21 B,$3.4 B,$39.4 B,$127.5 B
329,Richemont,$22.4 B,$2.6 B,$46.1 B,$94.4 B
330,Huaxia Bank,$25.3 B,$3.7 B,$606 B,$15.3 B
331,Power Corp of Canada,$31.4 B,$1.9 B,$560.2 B,$19 B
332,Repsol,$63.7 B,$3.3 B,$68.2 B,$19.7 B
333,Bank of Ningbo,$15.8 B,$3.6 B,$399.6 B,$23.6 B
334,Gree Electric Appliances,$28.4 B,$4.1 B,$52.7 B,$32.2 B
335,Cenovus Energy,$39.5 B,$3.4 B,$40.6 B,$37.9 B
336,Texas Instruments,$16.8 B,$5.9 B,$34.9 B,$177.6 B
337,RWE Group,$28 B,$1.9 B,$111.5 B,$28.1 B
338,Constellation Energy,$22 B,$2.4 B,$52 B,$67.2 B
339,Møller-Maersk,$49.2 B,$1.7 B,$81.6 B,$26.3 B
340,Renault,$56.6 B,$2.4 B,$134.7 B,$15.9 B
341,Nissan Motor,$87.7 B,$3 B,$131.2 B,$12.9 B
342,Panasonic,$58.8 B,$3.1 B,$62.2 B,$19.9 B
343,Advanced Micro Devices,$22.8 B,$1.1 B,$67.9 B,$265.8 B
343,Hartford Financial Services,$25 B,$2.7 B,$70.6 B,$30.5 B
345,Adobe,$19.9 B,$4.8 B,$28.8 B,$216.6 B
346,Sompo,$31.7 B,$2.7 B,$102.3 B,$20 B
346,Uber,$38.6 B,$1.4 B,$39.6 B,$137.2 B
348,Bank of Beijing,$19.4 B,$3.6 B,$538.9 B,$17 B
349,Vodafone,$39.8 B,$1.2 B,$155.9 B,$26.5 B
350,China Railway Construction,$158.2 B,$3.7 B,$236.5 B,$10.2 B
351,Poly Developments & Holdings Group,$48.2 B,$1.6 B,$197.1 B,$18.5 B
352,Japan Tobacco,$20.2 B,$3.4 B,$47.3 B,$50.4 B
353,Freeport-McMoRan,$23.8 B,$1.6 B,$54.2 B,$77.9 B
354,Fannie Mae,$143.3 B,$18 B,"$4,323.8 B",$1.8 B
355,Nucor,$34.1 B,$4.2 B,$33.9 B,$41.3 B
356,Booking Holdings,$22 B,$4.8 B,$27.7 B,$125.8 B
356,Canadian National Railway,$13.5 B,$4.4 B,$53.5 B,$81 B
358,Corebridge Financial,$20.8 B,$2.4 B,$357.9 B,$19.1 B
359,Tesco,$85.3 B,$1.5 B,$59.5 B,$27.6 B
359,United Airlines Holdings,$54.8 B,$2.7 B,$71.9 B,$18.1 B
361,BAE Systems,$28.7 B,$2.3 B,$40.9 B,$52.3 B
362,HP,$53.1 B,$3.4 B,$35.8 B,$30.5 B
363,S&P Global,$12.8 B,$2.8 B,$60.5 B,$138.3 B
364,Cosco Shipping,$24.8 B,$3.4 B,$65.2 B,$25.9 B
365,Freddie Mac,$110.5 B,$11.3 B,"$3,287.4 B",$962 M
366,Sempra,$13.6 B,$2.9 B,$89.6 B,$49.5 B
367,China Communications Construction,$106.6 B,$3.3 B,$239.2 B,$10.1 B
368,Kering,$21.2 B,$3.2 B,$45.7 B,$44.6 B
369,State Street,$18.7 B,$1.9 B,$338 B,$23.5 B
370,Saudi Telecom,$19.5 B,$3.6 B,$42.6 B,$50.5 B
